1.2800000e+02_C_   1.7900000e+02_C
  1.3550755  -25.8302872
 -0.2561378  -25.8302872
 -1.8126511  -25.8302872
 -3.3412945  -25.8302872
 -4.8557384  -25.8302872
 -6.1177475   26.1697128
 -6.7607412   26.1697128
 -6.1075465  -25.8302872
 -4.3035437  -25.8302872
 -3.1392044   26.1697128
 -3.0363734   26.1697128
 -2.4935811  -25.8302872
 -1.2362284  -25.8302872
 -0.3504072   26.1697128
 -0.6346813   26.1697128
 -0.5343189   26.1697128
  0.7428157   26.1697128
  2.1291158  -25.8302872
  3.5710357  -25.8302872
  4.3056938   26.1697128
  3.4540022   26.1697128
  2.7748653  -25.8302872
  3.1644450  -25.8302872
  3.1177359   26.1697128
  1.8679376   26.1697128
  0.9859654   26.1697128
  1.7626005   26.1697128
  3.1390962   26.1697128
  4.5760207   26.1697128
  6.0437337   26.1697128
  7.0367335   26.1697128
  7.7878669   26.1697128
  8.6609694   26.1697128
  9.3510151   26.1697128
  9.7025933   26.1697128
  9.8817225  -25.8302872
  9.9729888  -25.8302872
  9.0386890   26.1697128
  6.8462632   26.1697128
  5.4840223  -25.8302872
  5.5255605  -25.8302872
  5.0563243   26.1697128
  3.5912484   26.1697128
  2.5995922  -25.8302872
  2.8299434  -25.8302872
  2.7021073   26.1697128
  1.6561749   26.1697128
  1.3684723  -25.8302872
  1.9574878  -25.8302872
  2.0123912   26.1697128
  1.3047645   26.1697128
  1.1894287  -25.8302872
  1.8662651  -25.8302872
  1.9659132  -25.8302872
  1.0358840  -25.8302872
 -0.4187659  -25.8302872
 -2.1407101  -25.8302872
 -3.7536406  -25.8302872
 -5.0658287  -25.8302872
 -6.2247886  -25.8302872
 -7.0604786  -25.8302872
 -7.4862627   26.1697128
 -7.7031997   26.1697128
 -7.0781290  -25.8302872
 -5.2884556  -25.8302872
 -3.8862169   26.1697128
 -3.6621764   26.1697128
 -3.0576277  -25.8302872
 -1.5236101  -25.8302872
 -0.4968282  -25.8302872
 -0.9544828  -25.8302872
 -2.1684578   26.1697128
 -3.2773781   26.1697128
 -3.3519730  -25.8302872
 -2.1639790  -25.8302872
 -1.3134961   26.1697128
 -1.3705751   26.1697128
 -1.1544568   26.1697128
 -0.0635446   26.1697128
  1.4730752   26.1697128
  3.2367830   26.1697128
  4.8709921   26.1697128
  6.1940217   26.1697128
  7.3585052   26.1697128
  8.1970096   26.1697128
  8.6242276  -25.8302872
  9.0870951  -25.8302872
  8.5873261  -25.8302872
  6.3710938  -25.8302872
  3.5255235   26.1697128
  1.3401054   26.1697128
  0.7170349  -25.8302872
  1.1351804  -25.8302872
  1.3482256  -25.8302872
  0.4759721  -25.8302872
 -1.1944410  -25.8302872
 -2.7811165  -25.8302872
 -4.0799277   26.1697128
 -4.9868720   26.1697128
 -4.7133601  -25.8302872
 -3.3480058  -25.8302872
 -2.4071578  -25.8302872
 -2.4181957  -25.8302872
 -3.1594195   26.1697128
 -4.0274731   26.1697128
 -3.9793464  -25.8302872
 -2.7288258  -25.8302872
 -1.6012856  -25.8302872
 -1.7624038  -25.8302872
 -2.8252936   26.1697128
 -3.8572359   26.1697128
 -3.8926105  -25.8302872
 -2.6846339  -25.8302872
 -1.5787698   26.1697128
 -1.5057320   26.1697128
 -1.2233193  -25.8302872
 -0.0986300  -25.8302872
  0.4743992  -25.8302872
 -0.2144424  -25.8302872
 -1.5462072   26.1697128
 -2.9603414   26.1697128
 -3.1904428   26.1697128
 -1.8364794   26.1697128
  0.0793649   26.1697128
  2.0362876   26.1697128
  3.7689397   26.1697128
  5.3873260   26.1697128
  6.7022937   26.1697128
  7.6174698   26.1697128
  8.5741521  -25.8302872
  9.0615816  -25.8302872
  8.3291270   26.1697128
  6.4847414   26.1697128
  5.0546269  -25.8302872
  4.8163836  -25.8302872
  4.4497986  -25.8302872
  3.0370236  -25.8302872
  1.0912147  -25.8302872
 -0.8809749  -25.8302872
 -2.6214056   26.1697128
 -3.9985550   26.1697128
 -3.9646126  -25.8302872
 -2.7213189  -25.8302872
 -2.0878608  -25.8302872
 -2.5007139  -25.8302872
 -3.4466626  -25.8302872
 -4.4190234  -25.8302872
 -5.4048412  -25.8302872
 -6.3975154  -25.8302872
 -7.1484829  -25.8302872
 -7.7763009  -25.8302872
 -8.0961741   26.1697128
 -8.0139495   26.1697128
 -7.2364561   26.1697128
 -5.1239232   26.1697128
 -2.5763877   26.1697128
 -0.2976184   26.1697128
  1.8442146  -25.8302872
  3.4258785  -25.8302872
  3.7413363  -25.8302872
  2.6760620  -25.8302872
  0.9073048  -25.8302872
 -0.9746770  -25.8302872
 -2.6691468  -25.8302872
 -4.0228791  -25.8302872
 -5.2030057   26.1697128
 -6.0494802   26.1697128
 -5.7451590   26.1697128
 -4.1189073   26.1697128
 -1.8191321  -25.8302872
  0.3334034  -25.8302872
  1.1849202  -25.8302872
  0.6379680  -25.8302872
 -0.6215041   26.1697128
 -1.9988052   26.1697128
 -2.2101401  -25.8302872
 -1.0918152  -25.8302872
 -0.2768287   26.1697128
 -0.5971930   26.1697128
 -0.7604187   26.1697128
  0.3824179   26.1697128
  2.1906931  -25.8302872
  3.8476093  -25.8302872
  4.2014081  -25.8302872
  2.6652686  -25.8302872
  0.6566055   26.1697128
 -0.8572083   26.1697128
 -1.1380965  -25.8302872
 -0.0552090  -25.8302872
  0.4965222   26.1697128
  0.0420292   26.1697128
  0.0556651  -25.8302872
  1.0434125  -25.8302872
  1.5466699  -25.8302872
  0.8222795  -25.8302872
 -0.5275974  -25.8302872
 -2.1961597  -25.8302872
 -3.7818922   26.1697128
 -4.8350229   26.1697128
 -4.6359930   26.1697128
 -3.0633873   26.1697128
 -1.0361446   26.1697128
  1.2227355   26.1697128
  3.3544349  -25.8302872
  4.9309358  -25.8302872
  5.2437629  -25.8302872
  3.6867484  -25.8302872
  1.4222495   26.1697128
 -0.4671127   26.1697128
 -0.9393428  -25.8302872
  0.0460560  -25.8302872
  0.3029167   26.1697128
 -0.5470128   26.1697128
 -0.7348518   26.1697128
  0.3954442   26.1697128
  2.1973300   26.1697128
  3.8509908   26.1697128
  5.4291310  -25.8302872
  6.7235934  -25.8302872
  6.6475220   26.1697128
  5.3827636   26.1697128
  4.4931693  -25.8302872
  4.5303209  -25.8302872
  4.0588497  -25.8302872
  2.3474351  -25.8302872
  0.4946694  -25.8302872
 -1.1849148  -25.8302872
 -2.7762629  -25.8302872
 -4.0774548  -25.8302872
 -5.2308120  -25.8302872
 -6.3088476  -25.8302872
 -7.3485067  -25.8302872
 -8.1234130  -25.8302872
 -8.5182277  -25.8302872
 -8.7193859  -25.8302872
 -8.8218759   26.1697128
 -8.8740946   26.1697128
 -8.1651000  -25.8302872
 -6.3326673  -25.8302872
 -4.6634428   26.1697128
 -4.0581729   26.1697128
 -3.2593879   26.1697128
 -1.3812070   26.1697128
  0.5565262  -25.8302872
  2.2794013  -25.8302872
  2.9120061   26.1697128
  2.0083183   26.1697128
  1.5478893  -25.8302872
  2.0489008  -25.8302872
  2.0589661  -25.8302872
  1.0832944  -25.8302872
 -0.3946103   26.1697128
 -1.8832028   26.1697128
 -2.1512406   26.1697128
 -1.0618059   26.1697128
  0.7192611   26.1697128
  2.6075147   26.1697128
  4.0599799  -25.8302872
  5.2904109  -25.8302872
  5.4269155   26.1697128
  4.2704646   26.1697128
  3.4360529  -25.8302872
  3.7465201  -25.8302872
  3.9047032   26.1697128
  3.0044974   26.1697128
  2.5458426   26.1697128
  3.0477580   26.1697128
  4.0390839  -25.8302872
  5.2797644  -25.8302872
  5.4214911  -25.8302872
  4.0225009  -25.8302872
  1.8385154   26.1697128
 -0.0098252   26.1697128
 -0.4611548   26.1697128
  0.5348928   26.1697128
  2.2683791   26.1697128
  3.8871903   26.1697128
  5.4475746  -25.8302872
  6.7329905  -25.8302872
  6.6523098  -25.8302872
  4.8948030  -25.8302872
  2.5281533   26.1697128
  0.5867453   26.1697128
 -0.1572021   26.1697128
  0.6897567   26.1697128
  2.3472822   26.1697128
  3.9273915   26.1697128
  5.4680571   26.1697128
  6.9886263   26.1697128
  8.0085563   26.1697128
  8.7734106   26.1697128
  9.6535039   26.1697128
 10.3471114   26.1697128
 10.7005044   26.1697128
 10.8805582   26.1697128
 11.2174956  -25.8302872
 11.3891652  -25.8302872
 10.2506308  -25.8302872
  7.7089476  -25.8302872
  4.6975600   26.1697128
  2.1824580   26.1697128
  1.1462135   26.1697128
  1.8442470   26.1697128
  3.1806950  -25.8302872
