1.2800000e+02_C_   1.7900000e+02_C
  2.6063239   26.1697128
  0.3813732   26.1697128
 -0.5070392   26.1697128
  0.2663147   26.1697128
  1.6411385  -25.8302872
  2.8320113  -25.8302872
  2.9483609   26.1697128
  2.0268411   26.1697128
  1.5573267   26.1697128
  2.0537091   26.1697128
  3.0422160   26.1697128
  4.2814602   26.1697128
  5.4032552  -25.8302872
  6.2200097  -25.8302872
  5.9005461  -25.8302872
  4.2665794  -25.8302872
  1.9628734  -25.8302872
 -0.4368648  -25.8302872
 -2.6403315   26.1697128
 -4.2533977   26.1697128
 -4.3396550  -25.8302872
 -3.1576030  -25.8302872
 -2.3101476   26.1697128
 -2.3687690   26.1697128
 -2.1534366  -25.8302872
 -1.0629248  -25.8302872
 -0.5073090   26.1697128
 -0.9598228   26.1697128
 -0.9451785  -25.8302872
  0.0430827  -25.8302872
  0.5466018  -25.8302872
 -0.1776552  -25.8302872
 -1.5274641   26.1697128
 -2.7055918   26.1697128
 -2.8154479  -25.8302872
 -1.8906195  -25.8302872
 -1.4194195  -25.8302872
 -2.1601430  -25.8302872
 -3.2731417   26.1697128
 -4.0854145   26.1697128
 -3.7636675   26.1697128
 -2.3737374   26.1697128
 -0.6847680   26.1697128
  1.1565619   26.1697128
  2.8303194  -25.8302872
  4.1734989  -25.8302872
  4.3674489  -25.8302872
  2.9950664  -25.8302872
  0.8246375  -25.8302872
 -1.2619960  -25.8302872
 -3.0607358   26.1697128
 -4.4675937   26.1697128
 -4.4487878   26.1697128
 -2.7228062   26.1697128
 -0.6174186   26.1697128
  1.1908764   26.1697128
  3.0930027  -25.8302872
  4.5525361  -25.8302872
  4.5605683   26.1697128
  3.3386607   26.1697128
  2.4708988   26.1697128
  2.7643741   26.1697128
  3.6494998  -25.8302872
  4.5908713  -25.8302872
  4.3349001   26.1697128
  2.7332828   26.1697128
  1.9172588  -25.8302872
  2.2370945  -25.8302872
  2.1548508   26.1697128
  1.1321477   26.1697128
  0.6110804  -25.8302872
  1.0811966  -25.8302872
  1.0755209   26.1697128
  0.0918291   26.1697128
 -0.4093619   26.1697128
  0.5612813   26.1697128
  2.0366240   26.1697128
  3.5239111   26.1697128
  5.0172839  -25.8302872
  6.0233573  -25.8302872
  5.8003517  -25.8302872
  4.2155304  -25.8302872
  1.9368639   26.1697128
 -0.2049167   26.1697128
 -1.0509539  -25.8302872
 -0.5012098  -25.8302872
 -0.2211152  -25.8302872
 -1.0592070  -25.8302872
 -2.4670148   26.1697128
 -3.9198929   26.1697128
 -4.1697342   26.1697128
 -2.8258284   26.1697128
 -0.6699084  -25.8302872
  1.1641328  -25.8302872
  1.6081769  -25.8302872
  0.6084173  -25.8302872
 -1.1269602  -25.8302872
 -2.7467351  -25.8302872
 -4.0624103  -25.8302872
 -5.2231469  -25.8302872
 -6.3049422  -25.8302872
 -7.3465169  -25.8302872
 -8.1223992   26.1697128
 -8.5177112   26.1697128
 -7.7383227   26.1697128
 -5.6248242   26.1697128
 -3.3219968  -25.8302872
 -1.1679062  -25.8302872
 -0.0703970  -25.8302872
 -0.4920161  -25.8302872
